10001,Manuel III,Garcia,10/11/1983,Valero Carpark Building Valero Street 1227 Makati City,966-860-270,Regular,0000,00000000,none,44-4506057-3,820126853951,442-605-657-000,691295330870,90000,1500,2000,1000,535.71,temp,Admin1234
10002,Antonio,Lim,06/19/1988,San Antonio De Padua 2 Block 1 Lot 8 and 2 Dasmarinas Cavite,171-867-411,Regular,0000,00000001,10001,52-2061274-9,331735646338,683-102-776-000,663904995411,60000,1500,2000,1000,357.14,temp,Admin4321
10003,Bianca Sofia,Aquino,08/04/1989,Rm. 402 4/F Jiao Building Timog Avenue Cor. Quezon Avenue 1100 Quezon City,966-889-370,Regular,0000,00000002,10001,30-8870406-2,177451189665,971-711-280-000,171519773969,60000,1500,2000,1000,357.14,temp,password
10004,Isabella,Reyes,06/16/1994,460 Solanda Street Intramuros 1000 Manila,786-868-477,Regular,0000,00000003,10001,40-2511815-0,341911411254,876-809-437-000,416946776041,60000,1500,2000,1000,357.14,temp,password
10005,Eduard,Hernandez,09/23/1989,National Highway Gingoog  Misamis Occidental,088-861-012,Regular,0002,00020000,10002,50-5577638-1,957436191812,031-702-374-000,952347222457,52670,1500,1000,1000,313.51,temp,password
10006,Andrea Mae,Villanueva,02/14/1988,17/85 Stracke Via Suite 042 Poblacion Las Piñas 4783 Dinagat Islands ,918-621-603,Regular,0003,00030000,10002,49-1632020-8,382189453145,317-674-022-000,441093369646,52670,1500,1000,1000,313.51,temp,password
10007,Brad ,San Jose,03/15/1996,99 Strosin Hills Poblacion Bislig 5340 Tawi-Tawi,797-009-261,Regular,0003,00030001,10006,40-2400714-1,239192926939,672-474-690-000,210850209964,42975,1500,800,800,255.8,temp,password
10008,Alice,Romualdez,05/14/1992,12A/33 Upton Isle Apt. 420 Roxas City 1814 Surigao del Norte ,983-606-799,Regular,0003,00030002,10007,55-4476527-2,545652640232,888-572-294-000,211385556888,22500,1500,500,500,133.93,temp,password
10009,Rosie ,Atienza,09/24/1948,90A Dibbert Terrace Apt. 190 San Lorenzo 6056 Davao del Norte,266-036-427,Regular,0003,00030002,10007,41-0644692-3,708988234853,604-997-793-000,260107732354,22500,1500,500,500,133.93,temp,password
10010,Roderick,Alvaro,03/30/1988,#284 T. Morato corner Scout Rallos Street Quezon City,053-381-386,Regular,0001,00010000,10003,64-7605054-4,578114853194,525-420-419-000,799254095212,52670,1500,1000,1000,313.51,temp,password
10011,Anthony,Salcedo,09/14/1993,93/54 Shanahan Alley Apt. 183 Santo Tomas 1572 Masbate,070-766-300,Regular,0001,00010001,10010,26-9647608-3,126445315651,210-805-911-000,218002473454,50825,1500,1000,1000,302.53,temp,password
10012,Josie ,Lopez,01/14/1987,49 Springs Apt. 266 Poblacion Taguig 3200 Occidental Mindoro,478-355-427,Regular,0001,00010002,10011,44-8563448-3,431709011012,218-489-737-000,113071293354,38475,1500,800,800,229.02,temp,password
10013,Martha,Farala,01/11/1942,42/25 Sawayn Stream Ubay 1208 Zamboanga del Norte ,329-034-366,Regular,0001,00010003,10011,45-5656375-0,233693897247,210-835-851-000,631130283546,24000,1500,500,500,142.86,temp,password
10014,Leila,Martinez,07/11/1970,37/46 Kulas Roads Maragondon 0962 Quirino ,877-110-749,Regular,0001,00010003,10011,27-2090996-4,515741057496,275-792-513-000,101205445886,24000,1500,500,500,142.86,temp,password
10015,Fredrick ,Romualdez,03/10/1985,22A/52 Lubowitz Meadows Pililla 4895 Zambales,023-079-009,Regular,0004,00040000,10002,26-8768374-1,308366860059,598-065-761-000,223057707853,53500,1500,1000,1000,318.45,temp,password
10016,Christian,Mata,10/21/1987,90 O'Keefe Spur Apt. 379 Catigbian 2772 Sulu ,783-776-744,Regular,0004,00040001,10015,49-2959312-6,824187961962,103-100-522-000,631052853464,42975,1500,800,800,255.8,temp,password
10017,Selena ,De Leon,02/20/1975,89A Armstrong Trace Compostela 7874 Maguindanao,975-432-139,Regular,0004,00040001,10015,27-2090208-8,587272469938,482-259-498-000,719007608464,41850,1500,800,800,249.11,temp,password
10018,Allison ,San Jose,06/24/1986,08 Grant Drive Suite 406 Poblacion Iloilo City 9186 La Union,179-075-129,Regular,0004,00040002,10016,45-3251383-0,745148459521,121-203-336-000,114901859343,22500,1500,500,500,133.93,temp,password
10019,Cydney ,Rosario,10/06/1996,93A/21 Berge Points Tapaz 2180 Quezon,868-819-912,Regular,0004,00040002,10016,49-1629900-2,579253435499,122-244-511-000,265104358643,22500,1500,500,500,133.93,temp,password
10020,Mark ,Bautista,02/12/1991,65 Murphy Center Suite 094 Poblacion Palayan 5636 Quirino,683-725-348,Regular,0004,00040002,10016,49-1647342-5,399665157135,273-970-941-000,260054585575,23250,1500,500,500,138.39,temp,password
